Lebron James,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date, Series, Team, Opponent, Game#, Result, Games Started, Min played, FG, FGA, FG%, 3P, 3PA, 3P%, FT, FTA, FT%, OReb, DReb, TReb, Assists, Steals, Blocks, TOV, PF, Points, GmSc, +/-
5/21/2006,ECS,CLE,DET,7,L (-18),1,46:45:00,11,24,0.458,0,4,0,5,8,0.625,3,5,8,2,1,0,3,2,27,15.6,-16
4/22/2007,EC1,CLE,WAS,1,W (+15),1,44:19:00,7,14,0.5,0,2,0,9,11,0.818,2,7,9,7,2,0,1,1,23,24.2,17
4/25/2007,EC1,CLE,WAS,2,W (+7),1,45:00:00,8,22,0.364,0,3,0,11,13,0.846,4,4,8,7,1,2,2,2,27,22.5,12
4/28/2007,EC1,CLE,WAS,3,W (+6),1,46:02:00,11,22,0.5,3,5,0.6,5,7,0.714,0,6,6,9,1,0,2,3,30,24.1,6
4/30/2007,EC1,CLE,WAS,4,W (+7),1,46:11:00,8,22,0.364,1,5,0.2,14,17,0.824,3,8,11,7,3,1,2,3,31,27.5,12
5/6/2007,ECS,CLE,NJN,1,W (+4),1,46:01:00,8,21,0.381,1,4,0.25,4,6,0.667,2,9,11,7,1,1,3,2,21,15.6,6
5/8/2007,ECS,CLE,NJN,2,W (+10),1,45:49:00,12,24,0.5,3,7,0.429,9,13,0.692,0,1,1,12,3,0,2,2,36,31.3,8
5/12/2007,ECS,CLE,NJN,3,L (-11),1,44:08:00,5,16,0.313,1,5,0.2,7,7,1,0,6,6,12,0,0,2,2,18,16.2,-12
5/14/2007,ECS,CLE,NJN,4,W (+2),1,46:20:00,9,16,0.563,2,3,0.667,10,15,0.667,0,9,9,7,0,0,3,1,30,24.6,9
5/16/2007,ECS,CLE,NJN,5,L (-11),1,42:47:00,5,14,0.357,0,2,0,10,11,0.909,3,6,9,5,2,1,5,4,20,15.3,-15
5/18/2007,ECS,CLE,NJN,6,W (+16),1,38:53:00,8,20,0.4,1,5,0.2,6,9,0.667,1,7,8,8,1,0,2,4,23,16.8,26
